Company/Brand,Sector,Amount($),HeadQuarter,Year,Investor
TheCollegeFever,Brand Marketing,250000.0,Bengaluru,2018,Unknown
Happy Cow Dairy,Agriculture,584699.0,Mumbai,2018,Unknown
MyLoanCare,Credit,950135.0,Gurugram,2018,Unknown
PayMe India,Financial Services,2000000.0,Noida,2018,Unknown
Eunimart,E-Commerce Platforms,3000000.0,Hyderabad,2018,Unknown
Hasura,Cloud Infrastructure,1600000.0,Bengaluru,2018,Unknown
Tripshelf,Internet,233879.0,Kalkaji,2018,Unknown
Hyperdata,Market Research,730873.0,Hyderabad,2018,Unknown
Freightwalla,Information Services,3000000.0,Mumbai,2018,Unknown
Microchip Payments,Mobile Payments,3000000.0,Bengaluru,2018,Unknown
BizCrum Infotech Pvt,B2B,3000000.0,Delhi,2018,Unknown
Emojifi,Internet,3000000.0,Bengaluru,2018,Unknown
Flock,Apps,3000000.0,India,2018,Unknown
Freshboxx,Food Delivery,3000000.0,Hubli,2018,Unknown
Wide Mobility Mechatronics,Industrial Automation,3000000.0,Bengaluru,2018,Unknown
Pitstop,Automotive,1461747.0,Bengaluru,2018,Unknown
Mihuru,Finance,150000.0,Mumbai,2018,Unknown
Fyle,Accounting,1100000.0,Bengaluru,2018,Unknown
AppWharf,AI,3000000.0,New Delhi,2018,Unknown
Antariksh Waste Ventures Pvt ltd,IOT,7309.0,Chennai,2018,Unknown
Cogoport,Air Transportation,6000000.0,Mumbai,2018,Unknown
PaisaDukan,Financial Services,650000.0,Mumbai,2018,Unknown
Sleepy Owl Coffee,Food & Beverages,511611.0,New Delhi,2018,Unknown
BlueJack,Autonomous Vehicles,935518.0,Delhi,2018,Unknown
PregBuddy,Enterprise Software,3000000.0,Bengaluru,2018,Unknown
AgNext Technologies,Agriculture,3000000.0,Mohali,2018,Unknown
Pando,Logistics,2000000.0,Chennai,2018,Unknown
Mintifi,Financial Services,2000000.0,Mumbai,2018,Unknown
Carcrew,Automotive,2000000.0,Mumbai,2018,Unknown
NicheAI,AI,3000000.0,Hyderabad,2018,Unknown
Chariot Tech,IOT,292349.0,New Delhi,2018,Unknown
Ideal Insurance Brokers,Insurance,1000000.0,Kolkata,2018,Unknown
Loanzen,Financial Services,3000000.0,Bengaluru,2018,Unknown
Mojro Technologies,Information Technology,650000.0,Bengaluru,2018,Unknown
Elemential,Blockchain,1000000.0,Mumbai,2018,Unknown
Loadshare,Industrial Automation,5000000.0,Bengaluru,2018,Unknown
Yumlane,Food & Beverages,4000000.0,Mumbai,2018,Unknown
